danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.678,0.727,2,-7.844,0,0.0258,0.117,0.00396,0.354,0.71,133.481
0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547
0.684,0.675,11,-8.123,1,0.0257,0.163,0.0,0.242,0.924,107.064
0.445,0.949,2,-4.682,1,0.0471,0.395,8.18e-06,0.0902,0.653,147.604
0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15
0.764,0.626,0,-8.274,1,0.0288,0.457,6.35e-06,0.201,0.961,118.34
0.787,0.704,9,-6.873,0,0.0385,0.535,0.00305,0.089,0.646,120.701
0.5,0.554,9,-8.108,1,0.0354,0.734,3.72e-06,0.312,0.372,84.229
0.68,0.696,5,-6.977,1,0.051,0.116,0.0,0.607,0.684,115.962
0.74,0.517,1,-6.233,0,0.0506,0.0183,0.0,0.0558,0.698,139.917
0.459,0.659,0,-4.357,1,0.167,0.0369,0.0,0.181,0.576,184.311
0.737,0.624,2,-5.667,0,0.0465,0.0242,0.0,0.113,0.398,92.001
0.67,0.643,5,-4.553,1,0.0466,0.118,0.0,0.192,0.703,123.977
0.622,0.639,10,-5.62,1,0.0874,0.0465,0.0,0.161,0.632,144.089
0.701,0.547,2,-8.238,1,0.0483,0.00843,0.0,0.0987,0.4,140.015
0.648,0.619,5,-4.94,1,0.0274,0.279,0.0,0.0833,0.772,93.014
0.43,0.583,1,-5.794,1,0.0403,0.0323,0.0,0.339,0.653,176.04
0.665,0.686,11,-7.049,0,0.104,0.247,0.0,0.062,0.927,73.987
0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366
0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767
0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653
0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038
0.456,0.863,3,-3.551,1,0.0894,0.133,0.0538,0.0553,0.532,135.962
0.547,0.931,2,-2.356,1,0.0615,0.000998,0.0118,0.278,0.697,118.4
0.612,0.196,7,-19.489,0,0.0359,0.706,0.319,0.111,0.142,73.489
0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.955
0.65,0.686,4,-5.198,0,0.0314,0.513,0.000189,0.138,0.497,124.019
0.564,0.3,2,-7.349,1,0.0887,0.638,0.0022,0.101,0.0487,121.888
0.702,0.525,7,-7.139,1,0.039,0.847,0.0285,0.159,0.649,110.121
0.356,0.611,10,-5.71,1,0.0289,0.000183,0.867,0.127,0.272,170.069
0.261,0.641,9,-5.549,1,0.0472,0.0222,0.000332,0.112,0.0959,85.982
0.536,0.328,0,-11.404,1,0.034,0.804,0.318,0.165,0.105,61.204
0.667,0.314,9,-14.966,0,0.0479,0.961,0.78,0.108,0.322,92.384
0.644,0.569,9,-8.911,1,0.041,0.611,0.912,0.219,0.787,85.001
0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014
0.791,0.587,3,-5.075,0,0.0413,0.407,0.0,0.148,0.536,96.057
0.946,0.646,5,-6.604,1,0.21,0.219,0.0,0.0643,0.961,127.978
0.812,0.621,5,-8.3,1,0.0515,0.244,0.0,0.099,0.847,77.998
0.538,0.52,7,-11.063,0,0.737,0.308,0.0,0.214,0.551,180.274
0.539,0.648,4,-6.008,1,0.0619,0.118,0.0,0.362,0.403,91.066
0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023
0.644,0.587,7,-6.736,0,0.353,0.473,0.0,0.0759,0.68,173.972
0.81,0.55,2,-7.46,0,0.17,0.0114,5.69e-06,0.107,0.183,76.503
0.816,0.513,1,-8.363,1,0.244,0.0145,0.000102,0.14,0.17,96.981
0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069
0.669,0.778,9,-5.386,1,0.178,0.0602,0.0,0.359,0.342,137.699
0.856,0.589,10,-5.325,0,0.0473,0.49,8.47e-05,0.0857,0.433,105.027
0.884,0.665,11,-7.929,1,0.0646,0.38,9.36e-06,0.111,0.472,110.016
0.655,0.823,8,-5.383,1,0.0329,0.0215,0.0,0.378,0.297,104.999
0.718,0.79,5,-3.938,0,0.0431,0.009,1.26e-06,0.0904,0.871,121.999
0.706,0.725,6,-6.473,0,0.0665,0.112,0.00207,0.109,0.923,74.999
0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
0.752,0.488,6,-7.05,1,0.0705,0.293,9.2e-06,0.0936,0.533,136.07
0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949
0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908
0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947
0.712,0.65,0,-3.744,1,0.0468,0.389,0.0,0.227,0.728,102.558
0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.992
0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384
0.552,0.662,6,-6.225,0,0.0548,9.18e-05,0.0,0.143,0.572,79.973
0.626,0.423,1,-6.035,1,0.0513,0.128,0.0,0.18,0.571,95.162
0.757,0.632,2,-6.83,1,0.0549,0.499,0.0,0.0723,0.742,122.936
